!Username	ElementId	Amount	Difference
EpsilonEta	4210700	200	NULL
EpsilonEta	4211055	300	NULL
EpsilonEta	4211063	500	NULL
EpsilonEta	4211088	300	NULL
EpsilonEta	4211357	100	NULL
EpsilonEta	4211388	400	NULL
EpsilonEta	4211398	500	NULL
EpsilonEta	4211413	400	NULL
EpsilonEta	4211414	400	NULL
EpsilonEta	4249891	400	NULL
EpsilonEta	4255413	400	NULL
EpsilonEta	4264569	200	NULL
EpsilonEta	4504375	200	NULL
EpsilonEta	4518653	50	NULL
EpsilonEta	4528604	200	NULL
EpsilonEta	4529685	200	NULL
EpsilonEta	4640844	200	NULL
EpsilonEta	6000311	150	NULL
EpsilonEta	6002843	50	NULL
EpsilonEta	6002847	50	NULL
EpsilonEta	6009656	100	NULL
EpsilonEta	6036424	50	NULL
EpsilonEta	6047501	200	NULL
EpsilonEta	6055509	200	NULL
EpsilonEta	6071229	300	NULL
EpsilonEta	6075208	200	NULL
EpsilonEta	6078605	200	NULL
EpsilonEta	6081975	200	NULL
Etzel	242328	300	NULL
Etzel	4129872	200	NULL
Etzel	4211055	200	NULL
Etzel	4211063	400	NULL
Etzel	4211065	50	NULL
Etzel	4211085	100	NULL
Etzel	4211088	500	NULL
Etzel	4519946	100	NULL
Etzel	4529685	500	NULL
Etzel	4570877	400	NULL
Etzel	4613823	400	NULL
Etzel	4614158	300	NULL
Etzel	4616578	200	NULL
Etzel	4656783	300	NULL
Etzel	6000311	200	NULL
Etzel	6002843	50	NULL
Etzel	6002847	50	NULL
Etzel	6021997	400	NULL
Etzel	6046943	200	NULL
Etzel	6058221	400	NULL
Etzel	6058257	400	NULL
Etzel	6062574	100	NULL
Etzel	6074312	150	NULL
Etzel	6075617	100	NULL
Etzel	6084571	50	NULL
Eva	242328	100	NULL
Eva	4121969	300	NULL
Eva	4211194	200	NULL
Eva	4211288	200	NULL
Eva	4249891	200	NULL
Eva	4255413	200	NULL
Eva	4255624	200	NULL
Eva	4264569	200	NULL
Eva	4504375	200	NULL
Eva	4521947	200	NULL
Eva	4521948	200	NULL
Eva	4546705	200	NULL
Eva	4613823	100	NULL
Eva	4616578	200	NULL
Eva	4616581	200	NULL
Eva	4656783	200	NULL
Eva	6003331	200	NULL
Eva	6006524	50	NULL
Eva	6009656	200	NULL
Eva	6021997	200	NULL
Eva	6055145	200	NULL
Eva	6055309	200	NULL
Eva	606428	50	NULL
Eva	6075617	400	NULL
footos	242328	150	NULL
footos	4125253	300	NULL
footos	4129872	150	NULL
footos	4211063	350	NULL
footos	4211288	250	NULL
footos	4211398	300	NULL
footos	4211413	200	NULL
footos	4211414	200	NULL
footos	4255413	200	NULL
footos	4521947	100	NULL
footos	4521948	200	NULL
footos	4528604	300	NULL
footos	4558952	200	NULL
footos	4570877	300	NULL
footos	4594292	50	NULL
footos	4613823	250	NULL
footos	4614158	300	NULL
footos	4616581	300	NULL
footos	4656783	300	NULL
footos	6009656	100	NULL
footos	6020157	50	NULL
footos	6021997	300	NULL
footos	6055509	200	NULL
footos	6058221	300	NULL
